PART NUMBER,DIFFERENCE,PLISN,SMR,NSN
"95065A150","SMR","ACPS, ACQH","PFFZZ , PAFZZ ","5310016029942, 5310016029942"
"R71095S","SMR","AVUK, AFQQ","PFFZZ , PAFZZ ","5940002571268, 5940002571268"
"140644","SMR","AZRH, ALNN","XAHZZ , XAFZZ ","             ,              "
"97568A632","SMR","BADK, AAGX","PFFZZ , PAFZZ ","5305016051629, 5305016051629"
"M22759/9-10-2","SMR","BBFW, AFRF","PAFZZ , MFFZZ ","             ,              "
"92865A669","SMR","ACTW, AAFR","PFFZZ , PAFZZ ","5305015976570, 5305015976570"
"640905-1","SMR","ACPB, ASZN","PAFZZ , PFFZZ ","5940010953304, 5940010953304"
"91247A678","SMR","BAQR, ACDB","PFFZZ , PAFZZ ","5305015989370, 5305015989370"
"M22759/9-14-0","SMR","ACLJ, BBFR","MFFZZ , PAFZZ ","6145010910239, 6145010910239"
"92865A581","SMR","AJQS, ACGQ","PAFZZ , PFFZZ ","5305015344896, 5305015344896"
"4896897","SMR","APUW, ASRK","XAHZZ , PFFZZ ","5330015305559, 5330015305559"
"9004201-6200","SMR, NSN","ALLA, AZQS","XAFZZ , XAHZZ ","5331002509633,              "
"W2S","SMR","ACLU, ATKN","PAFZZ , PFFZZ ","5935014468180, 5935014468180"
"90126A030","SMR","AFEK, AFUJ","PAFZZ , PFFZZ ","5310015296246, 5310015296246"
"91102A031","SMR","BAKF, AVWM","PAFZZ , PFFZZ ","5310014761622, 5310014761622"
"95065A171","SMR","BAKR, AAZZ","PFFZZ , PAFZZ ","5310016031824, 5310016031824"
"4510048","SMR","ALAA, AKHD","XAFZZ , XAFFF ","             ,              "
"3902460","SMR","AQHZ, ALXM","PAFZZ , XAHZZ ","5305011912409, 5305011912409"
"184235-1","SMR","AVUE, AFQK","PFFZZ , PAFZZ ","5940015241895, 5940015241895"
"4327-0101","SMR","AYEY, BBGM","MFFZZ , PFFZZ ","             ,              "
"9004800-3708","SMR","AKAX, AZMD","XAFZZ , XAHZZ ","5315001859912, 5315001859912"
"9005110-8700","SMR","AKLB, AZQM","XAFZZ , XAHZZ ","             ,              "
"DT06-2S","SMR","ATYW, ACNF","PFFZZ , PAFZZ ","5935014475814, 5935014475814"
"DTP06-4S","SMR","ATGE, AFQV","PFFZZ , PAFZZ ","5935015224172, 5935015224172"
"G81800-0038HG-38","SMR","AGSR, BBFF","MFFZZ , PFFZZ ","             ,              "
"3587237","SMR","AVUV, AVFS","PFFZZ , PAFZZ ","5935015150573, 5935015150573"
"3093730","SMR","AMLK, ANWU","XAHZZ , PAFZZ ","5305015585436, 5305015585436"
"9004201-3700","SMR, NSN","AZPW, ALJD","XAHZZ , XAFZZ ","             , 5331011324739"
"MS25036-110","SMR","AVHZ, AVQL","PFFZZ , PAFZZ ","5940001434793, 5940001434793"
"J900957","SMR","AMSW, ALUD","XAHZZ , XAFZZ ","5340011944666, 5340011944666"
"496-21053","NSN","BABN, ASKU","PAFZZ , PAFZZ ","5310013517793, 5310012708380"
"3678923","SMR","APAT, ALWW","PAFZZ , XAHZZ ","5365014545474, 5365014545474"
"3903112","SMR","AMJH, ANLD","XAHZZ , PAFZZ ","5306012881011, 5306012881011"
"3678925","SMR","ALXB, APBD","XAHZZ , PFFZZ ","5331014812514, 5331014812514"
"MS25036-114","SMR","AVSN, AVNJ","PFFZZ , PAFZZ ","5940001139826, 5940001139826"
"M22759/9-12-2","SMR","BBGG, AFRL","PAFZZ , MFFZZ ","             ,              "
"36020","SMR","ASGL, AVXN","PAFZZ , PFFZZ ","5310015533107, 5310015533107"
"M22759/9-16-2","SMR","AVQR, BBGB","MFFZZ , PAFZZ ","             ,              "
"91102A730","SMR","ASGF, AVXH","PAFZZ , PFFZZ ","5310015061020, 5310015061020"
"1062-14-0122","SMR","ATYF, ACLP","PFFZZ , PAFZZ ","5999016050855, 5999016050855"
"3925883","NSN, SMR","AQTD, AMKZ, ANLU","XAHZZ , XAHZZ , XDFZZ ","             , 5305014129814,              "
